학수번호-분반,강좌명,대상학년,정원,교수명,학점,강의시간/강의실,이수구분,언어구분,특이사항,대학
ACCT1001-01,회계원리,1,80,심규영,3.0,월 09:00-10:15 (오422)수 09:00-10:15 (오422),11,,,서울
ACCT1001-02,회계원리,1,85,심규영,3.0,월 10:30-11:45 (오422)수 10:30-11:45 (오422),11,,,서울
ACCT1001-03,회계원리,1,40,강병민,3.0,월 15:00-16:15 (오307)수 15:00-16:15 (오307),11,,,서울
ACCT1001-04,회계원리,1,60,김권중,3.0,월 15:00-16:15 (오211)수 15:00-16:15 (오211),11,,,서울
ACCT1001-05,회계원리,1,40,강병민,3.0,월 16:30-17:45 (오307)수 16:30-17:45 (오307),11,,,서울
ACCT1001-06,회계원리,1,60,김권중,3.0,월 16:30-17:45 (오211)수 16:30-17:45 (오211),11,,,서울
ACCT1001-07,회계원리,1,60,허귀진,3.0,화 09:00-11:45 (외국어대306),11,,국제캠퍼스 개설강좌,서울
ACCT1001-08,회계원리,1,60,김성은,3.0,화 10:30-11:45 (오211)목 10:30-11:45 (오211),11,,,서울
ACCT1001-09,회계원리,1,60,김성은,3.0,화 12:00-13:15 (오211)목 12:00-13:15 (오211),11,,,서울
ACCT1001-10,회계원리,1,60,김성은,3.0,화 13:30-14:45 (오211)목 13:30-14:45 (오211),11,,,서울
ACCT1001-11,회계원리,1,80,최승욱,3.0,화 15:00-16:15 (오309)목 15:00-16:15 (오309),11,영어,,서울
ACCT1002-01,관리회계1,2,0,정형록,3.0,월 15:00-16:15 (오309)수 15:00-16:15 (오309),04,,회계세무학과 1학년 대상,서울
ACCT1002-02,관리회계1,2,0,이현경,3.0,월 15:00-16:15 (오308)수 15:00-16:15 (오308),04,,경영학과 1학년 대상,서울
ACCT1002-03,관리회계1,2,0,이현경,3.0,월 16:30-17:45 (오308)수 16:30-17:45 (오308),04,,경영학과 1학년 대상,서울
